epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13065.3,1.64201,1.74215,1.48469,0.61915,0.5677,0.59967,0.32919,1.6332,1.72682,1.47622,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13473.2,1.62941,1.73382,1.48126,0.629,0.55834,0.59801,0.3301,1.62922,1.72402,1.47349,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13887,1.63167,1.72327,1.47318,0.62327,0.56598,0.60168,0.33133,1.62537,1.71884,1.46832,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14296,1.63039,1.71146,1.47401,0.6274,0.5648,0.60276,0.33342,1.62709,1.70804,1.46596,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14714.6,1.62498,1.70423,1.47208,0.62387,0.56912,0.60568,0.33508,1.62821,1.70487,1.46409,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15116.1,1.62439,1.71007,1.46986,0.62516,0.57316,0.60864,0.33613,1.62636,1.70408,1.46258,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15526.2,1.61861,1.69579,1.4647,0.62764,0.57293,0.60894,0.33704,1.62392,1.69959,1.46178,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15930.5,1.61734,1.68984,1.46518,0.63397,0.56972,0.60939,0.33717,1.62389,1.69574,1.46153,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,16325.4,1.61524,1.68892,1.45877,0.63022,0.57247,0.60965,0.3385,1.62344,1.69018,1.46024,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16741.9,1.61191,1.67882,1.45858,0.63569,0.57512,0.61052,0.33932,1.62116,1.68582,1.45917,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17150.2,1.6097,1.67279,1.45338,0.63995,0.57383,0.61187,0.34008,1.62002,1.68091,1.4582,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17561.9,1.60401,1.6707,1.45224,0.64144,0.57309,0.61366,0.34103,1.61709,1.67843,1.45603,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17979.2,1.59697,1.64636,1.44953,0.64216,0.57283,0.61411,0.34164,1.61637,1.67589,1.4555,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,18399.2,1.59495,1.64026,1.44257,0.63834,0.57496,0.61524,0.3422,1.61549,1.67348,1.45499,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18805.7,1.58867,1.63768,1.44151,0.63861,0.5758,0.61645,0.34283,1.61503,1.67036,1.45466,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19202.7,1.5888,1.63447,1.44372,0.64542,0.57164,0.61691,0.34357,1.61409,1.66829,1.45441,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19616.5,1.58134,1.6195,1.43405,0.64353,0.57395,0.61766,0.34442,1.61428,1.66656,1.45415,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,20029.6,1.58147,1.61166,1.43629,0.64111,0.57606,0.61861,0.34496,1.61354,1.6639,1.45438,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,20430.8,1.58021,1.61359,1.43725,0.64403,0.57417,0.61946,0.34567,1.6124,1.66181,1.45359,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20841.9,1.57392,1.59708,1.42922,0.6417,0.57838,0.61952,0.34621,1.61255,1.65948,1.45373,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21247,1.57191,1.60253,1.42784,0.64621,0.57775,0.62042,0.34665,1.61214,1.65694,1.45361,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,21657.7,1.568,1.6053,1.42765,0.64944,0.57555,0.62087,0.34756,1.61179,1.65499,1.45314,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22072.6,1.56622,1.58281,1.4222,0.64984,0.57594,0.62201,0.34757,1.61165,1.65246,1.45292,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,22476.7,1.56576,1.57205,1.41978,0.65118,0.57496,0.62218,0.34782,1.61161,1.64949,1.4526,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22868.2,1.55922,1.56657,1.41494,0.65435,0.57453,0.62329,0.34855,1.61106,1.64745,1.45204,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,23258,1.55581,1.55924,1.41357,0.64741,0.57935,0.62412,0.34884,1.6105,1.64421,1.4512,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23665.2,1.55239,1.55304,1.41115,0.64882,0.58073,0.62472,0.34952,1.61067,1.64162,1.45093,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,24069.8,1.54629,1.5459,1.40568,0.64998,0.58158,0.62498,0.34979,1.60987,1.63982,1.45003,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,24483.8,1.54831,1.5437,1.40954,0.65187,0.57859,0.62537,0.34997,1.6098,1.63759,1.4495,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24889.5,1.54027,1.52604,1.4002,0.65093,0.57906,0.62606,0.35057,1.60927,1.63522,1.44959,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
